
Traditional Range Search 
Point: (755.49,442.73)
Range: 14.14
Result Objects:
1029696 763.15 444.15 
1048490 760.76 444.15 
1048484 759.38 444.35 
1029990 769.22 444.35 
1029989 768.57 444.35 
1048479 757.63 444.76 
1029678 766.00 444.76 
1028079 765.17 445.17 
1028078 764.99 445.17 
1049684 756.99 445.17 
1048482 758.55 445.17 
1029676 766.00 445.37 
1029677 766.00 445.37 
1029680 768.11 445.58 
1028090 763.88 445.58 
1028088 761.86 445.58 
1029679 766.46 445.58 
1028089 763.88 445.58 
1029594 768.94 445.78 
1048478 757.36 445.78 
1029593 769.03 445.98 
1028087 761.59 445.98 
1048481 758.92 445.98 
1028166 766.83 446.19 
1048480 758.46 446.39 
1028167 767.19 446.39 
1048483 759.75 446.60 
1049682 756.62 446.60 
1048475 757.36 447.00 
1028086 763.98 447.00 
1028080 761.49 447.00 
1028077 765.17 447.21 
1028084 762.69 447.41 
1049679 756.90 447.41 
1028083 763.24 447.62 
1048474 758.00 447.62 
1048477 760.02 447.62 
1028081 761.31 447.62 
1048473 757.63 447.82 
1028096 761.68 447.82 
1028085 764.53 448.02 
1028076 765.54 448.02 
1028160 767.01 448.23 
1048246 757.08 448.23 
1048476 758.46 448.23 
1028163 767.84 448.23 
1048247 757.08 448.43 
1028162 767.38 448.43 
1028082 762.87 448.63 
1048263 758.83 448.84 
1028161 766.27 448.84 
1048245 757.72 449.25 
1048262 758.37 449.45 
1048256 758.64 449.65 
1048261 758.28 449.86 
1028092 763.15 449.86 
1028093 764.71 450.06 
1048257 758.09 450.26 
1048259 759.38 450.88 
1048258 759.01 451.08 
1028168 766.00 451.28 
1048260 756.62 451.69 
1028095 765.45 452.30 
1028094 764.99 452.30 
1028091 763.98 452.51 
1048250 759.10 452.71 
1048254 759.47 452.91 
1048253 759.38 453.53 
1048251 758.83 453.73 
1048252 758.46 453.73 
1048255 760.02 454.14 
1048249 758.00 454.34 
1028832 763.24 454.55 
1047129 759.75 454.95 
1028830 762.14 454.95 
1028829 761.95 454.95 
1047123 756.90 455.16 
1047127 759.38 455.77 
1047128 759.29 455.77 
1047125 758.55 455.97 
1047124 757.63 456.18 
1047126 758.09 456.38 
1049685 756.53 443.54 
1046439 756.71 433.96 
1049686 756.80 443.95 
1046447 756.80 431.92 
1049687 756.99 443.54 
1048625 757.08 438.24 
1046446 757.26 430.70 
1048628 757.36 436.40 
1048629 757.36 436.40 
1048486 757.45 443.33 
1048630 757.45 441.70 
1048626 757.63 436.81 
1048631 757.82 441.09 
1046441 757.82 433.55 
1046829 757.82 428.86 
1048485 757.82 442.93 
1046434 757.91 434.57 
1048627 758.18 438.44 
1046846 758.46 429.68 
1049259 758.64 438.65 
1049276 758.64 441.30 
1048487 758.73 443.95 
1049275 758.73 441.30 
1049278 758.73 439.46 
1049266 758.73 436.00 
1049267 758.83 442.32 
1049277 759.19 439.26 
1049261 759.38 437.22 
1049282 759.38 439.26 
1049279 759.38 441.50 
1049280 759.38 440.68 
1046443 759.56 432.53 
1046435 759.65 434.57 
1046436 759.65 434.57 
1046437 759.65 434.57 
1048488 759.75 443.33 
1049262 759.84 436.81 
1049269 759.84 442.72 
1049260 759.84 437.42 
1049268 759.93 442.72 
1049281 760.02 440.68 
1049265 760.02 442.52 
1049270 760.21 441.70 
1046442 760.30 432.94 
1048642 760.39 430.70 
1049264 760.48 437.22 
1046438 760.48 435.18 
1049284 760.48 440.68 
1048489 760.48 443.33 
1049263 760.48 437.22 
1048643 760.57 430.49 
1049283 760.67 439.26 
1049271 760.67 442.72 
1046444 760.94 433.14 
1048644 760.94 429.68 
1049125 761.31 438.65 
1049132 761.49 434.98 
1049134 761.59 434.16 
1048491 761.68 443.33 
1049126 761.68 436.81 
1049274 761.77 442.32 
1049142 761.77 431.92 
1049143 761.95 432.53 
1049273 762.14 442.72 
1049272 762.14 442.72 
1049285 762.14 440.89 
1049141 762.23 433.96 
1049144 762.41 432.33 
1049133 762.41 435.18 
1049127 762.60 437.42 
1049135 762.69 436.61 
1049145 762.96 432.74 
1049137 763.06 434.77 
1048283 763.24 431.72 
1049147 763.33 439.46 
1049146 763.33 440.07 
1048282 763.33 432.94 
1049128 763.52 438.44 
1049129 763.61 436.61 
1049136 763.70 434.77 
1048284 763.79 433.35 
1049130 763.88 437.02 
1029699 764.07 441.91 
1049138 764.16 436.00 
1049131 764.44 437.22 
1048285 764.44 432.74 
1029703 764.53 443.13 
1029698 764.62 443.13 
1029697 764.62 443.13 
1049140 764.62 434.57 
1029704 764.62 443.13 
1029705 764.62 443.13 
1049139 764.80 435.59 
1029700 764.80 440.07 
1029701 764.90 439.87 
1029687 765.17 439.26 
1029689 765.26 439.46 
1029688 765.26 439.46 
1029686 765.63 440.07 
1029681 765.72 443.74 
1049121 765.72 434.98 
1029684 765.72 440.68 
1049118 765.81 436.40 
1049120 765.81 436.40 
1049117 765.81 436.61 
1049119 765.81 436.40 
1049123 765.91 434.37 
1029685 765.91 439.26 
1049122 765.91 434.37 
1029672 766.09 437.83 
1029691 766.37 439.46 
1049124 766.46 434.37 
1029674 766.83 438.04 
1029690 766.92 439.87 
1028198 766.92 436.20 
1029673 766.92 438.04 
1028199 767.01 436.20 
1028197 767.19 434.98 
1028196 767.38 436.81 
1029694 767.47 440.48 
1029702 767.56 438.24 
1028200 767.56 436.20 
1029683 767.56 443.33 
1029682 767.65 442.32 
1029693 767.93 441.70 
1029692 767.93 441.50 
1029675 768.21 439.05 
1029695 768.66 439.67 
1029993 769.40 440.48 
1029992 769.58 443.74 
1049802 745.95 452.51 
1049806 746.23 451.69 
1049810 746.78 452.10 
1049811 747.06 451.90 
1049809 747.06 453.73 
1046388 748.34 454.34 
1046387 748.62 454.14 
1046386 748.62 452.71 
1046374 749.26 454.95 
1046402 749.72 455.56 
1046376 749.72 454.95 
1046377 749.82 455.56 
1046375 749.91 454.55 
1046389 750.00 454.34 
1046404 750.28 453.53 
1046378 750.55 454.95 
1046390 750.64 452.91 
1046379 750.92 455.56 
1046382 751.20 455.97 
1046391 751.29 454.14 
1046394 751.29 452.91 
1046384 751.29 454.95 
1046383 751.47 455.16 
1046392 751.84 454.34 
1046393 751.93 453.53 
1046381 752.02 455.97 
1046403 752.21 452.30 
1046385 752.30 454.55 
1049587 752.94 456.58 
1048096 752.94 455.36 
1049588 752.94 456.58 
1048098 753.77 455.36 
1048097 753.77 455.36 
1048101 754.23 452.71 
1049589 754.51 456.38 
1048100 754.87 454.75 
1048102 755.24 453.53 
1048099 755.52 455.36 
1047122 756.34 455.77 
1048248 756.34 453.73 
1048317 741.45 442.93 
1046974 741.72 439.87 
1046962 742.18 438.24 
1046976 742.18 441.50 
1046961 742.18 438.85 
1046963 742.55 437.42 
1046960 742.92 438.24 
1048318 743.01 442.32 
1046966 743.01 436.40 
1048319 743.10 443.13 
1046967 743.20 436.20 
1048312 743.29 447.41 
1046977 743.38 441.30 
1049803 743.56 450.26 
1048309 743.66 449.86 
1048311 743.75 448.02 
1046978 743.75 440.28 
1046968 743.75 436.61 
1046964 743.84 438.44 
1046969 744.12 436.00 
1049804 744.39 450.06 
1047084 744.39 439.46 
1049805 745.13 451.08 
1048313 745.13 446.80 
1049545 745.22 436.00 
1049546 745.22 436.20 
1049547 745.31 435.18 
1047089 745.40 437.63 
1048314 745.49 443.74 
1047088 745.77 439.46 
1049548 745.86 435.39 
1047083 745.95 442.32 
1047056 746.05 438.44 
1047087 746.23 439.46 
1047055 746.41 438.85 
1047086 746.41 439.46 
1047085 746.41 440.89 
1048307 746.60 445.17 
1047065 746.60 441.09 
1047076 746.60 437.02 
1047078 746.69 436.40 
1048310 746.69 450.06 
1048301 746.78 448.63 
1049812 746.78 450.88 
1047063 746.97 439.87 
1047064 746.97 441.09 
1047062 747.15 439.87 
1048302 747.15 449.04 
1047075 747.24 438.85 
1048303 747.24 448.43 
1047079 747.24 436.40 
1047057 747.43 442.11 
1047080 747.52 436.20 
1048300 747.61 447.21 
1047058 747.61 442.93 
1048308 747.70 446.80 
1047071 747.70 440.07 
1047081 747.70 435.39 
1047070 747.79 440.07 
1048304 747.79 449.04 
1047060 747.89 442.11 
1048306 747.89 447.41 
1048305 747.89 448.43 
1047082 747.98 436.20 
1047069 748.07 440.68 
1048387 748.07 443.74 
1048368 748.16 447.62 
1047068 748.25 441.09 
1048374 748.34 445.58 
1048370 748.44 449.04 
1047873 748.53 434.77 
1047059 748.53 442.52 
1047066 748.62 441.50 
1047067 748.62 441.50 
1048369 748.71 448.63 
1046395 748.99 451.69 
1047077 748.99 437.42 
1047061 748.99 442.52 
1047074 748.99 439.46 
1047073 748.99 439.46 
1047072 748.99 439.46 
1048377 749.08 446.39 
1046397 749.08 450.26 
1049306 749.45 435.39 
1047874 749.45 435.39 
1049305 749.45 435.39 
1046396 749.54 451.28 
1048388 749.63 441.70 
1049288 749.63 440.89 
1049287 749.63 440.89 
1048375 749.72 446.39 
1049286 749.72 439.46 
1048400 749.82 441.50 
1048376 749.91 446.39 
1047875 749.91 434.57 
1049291 750.00 439.87 
1048389 750.00 443.54 
1049300 750.09 438.44 
1049292 750.09 440.68 
1049299 750.09 436.81 
1048371 750.09 447.62 
1049308 750.18 435.18 
1049307 750.28 435.79 
1047876 750.37 434.37 
1048390 750.37 443.13 
1046398 750.37 450.47 
1049290 750.37 440.28 
1048379 750.37 445.78 
1048392 750.46 442.32 
1048401 750.46 441.70 
1048402 750.46 441.70 
1049298 750.55 437.02 
1049297 750.55 436.81 
1048380 750.64 446.39 
1048393 750.83 442.11 
1048394 750.83 442.11 
1048378 750.83 445.58 
1049296 750.92 436.81 
1048391 750.92 443.33 
1049301 751.01 438.44 
1049289 751.10 440.68 
1049302 751.20 439.05 
1048407 751.29 444.56 
1048403 751.29 441.70 
1048408 751.38 444.35 
1048382 751.38 444.56 
1048381 751.47 444.35 
1048395 751.56 442.93 
1046399 751.66 451.49 
1048372 751.75 447.21 
1048409 751.75 444.35 
1048410 751.75 444.35 
1049309 751.84 434.37 
1048396 751.84 442.52 
1046400 751.93 451.28 
1049293 752.02 440.07 
1048383 752.02 446.39 
1046401 752.21 450.67 
1048397 752.21 441.91 
1049304 752.39 437.22 
1049295 752.39 440.89 
1048399 752.48 443.33 
1049303 752.48 438.44 
1048406 752.48 449.65 
1048385 752.57 445.37 
1048405 752.67 441.70 
1048398 752.67 442.93 
1048404 752.67 441.70 
1048386 752.67 446.39 
1048384 752.76 445.37 
1049310 752.76 436.00 
1048093 752.76 448.63 
1048103 752.76 451.08 
1048373 752.85 447.00 
1049294 752.85 440.48 
1048617 752.94 438.24 
1048608 753.03 439.46 
1046423 753.13 434.57 
1048607 753.31 440.68 
1049671 753.31 442.52 
1049672 753.31 442.52 
1048092 753.31 448.84 
1046424 753.40 435.18 
1049662 753.59 447.82 
1049670 753.68 445.98 
1048611 753.77 440.68 
1048613 753.77 439.46 
1048610 753.77 440.68 
1048104 753.86 451.28 
1048612 753.86 440.48 
1046425 753.95 434.37 
1049669 753.95 446.19 
1049675 753.95 441.91 
1048609 754.14 439.26 
1049674 754.32 442.72 
1048621 754.32 436.00 
1046426 754.32 435.39 
1049667 754.41 445.37 
1049673 754.41 443.74 
1049668 754.41 446.39 
1049666 754.51 444.35 
1048105 754.51 449.86 
1048620 754.69 437.42 
1049663 754.87 448.02 
1048615 754.87 440.48 
1049676 754.97 443.95 
1048095 754.97 448.84 
1046428 755.15 434.37 
