
Traditional Range Search 
Point: (755.49,442.73)
Range: 14.14
Result Objects:
1063569 758.94 429.11 
1050112 760.31 429.81 
1050923 755.16 430.79 
1056944 753.57 431.03 
1048049 754.03 431.52 
1005088 758.39 432.86 
1085712 764.59 432.98 
1089855 753.36 433.11 
1039186 763.92 434.45 
1049044 763.00 434.94 
1094595 754.00 435.18 
1001677 765.59 435.42 
1055639 751.07 435.61 
1066910 758.82 436.31 
1030316 757.69 436.40 
1059934 767.00 436.92 
1063376 763.79 436.98 
1041381 758.64 437.71 
1054346 765.90 437.87 
1061383 750.55 438.26 
1090062 759.12 438.57 
1037633 765.53 439.51 
1091515 747.77 439.85 
1088569 761.69 440.43 
1084257 762.97 440.46 
1094474 754.85 441.44 
1058041 767.61 441.47 
1054120 764.37 441.74 
1093068 753.08 441.96 
1020794 761.51 442.63 
1047724 763.73 442.66 
1040622 748.32 442.66 
1045860 762.73 443.57 
1017042 747.62 443.66 
1044809 763.43 444.03 
1093563 746.89 444.46 
1015528 764.37 444.46 
1067781 755.80 444.49 
1062956 749.33 444.76 
1094495 761.63 444.92 
1016950 756.50 445.28 
1063781 746.83 445.68 
1062198 748.69 445.92 
1012452 757.45 446.11 
1026407 752.78 446.11 
1014393 747.62 446.11 
1054145 767.91 446.20 
1030642 754.24 446.29 
1026759 755.71 446.41 
1014024 768.13 446.66 
1073231 765.35 447.14 
1055663 748.90 447.51 
1025267 765.53 447.63 
1018025 755.16 447.69 
1012998 753.66 448.49 
1044448 753.14 448.55 
1053931 758.00 448.58 
1063089 767.67 448.85 
1027047 766.33 449.01 
1094803 746.19 449.04 
1055126 746.09 449.19 
1049469 755.34 450.01 
1054024 750.52 450.26 
1015292 763.00 450.65 
1008205 756.53 451.32 
1074433 747.53 451.45 
1048589 757.23 451.54 
1001792 755.74 452.61 
1019974 750.34 452.88 
1022789 762.42 453.06 
1004548 755.22 453.31 
1098219 759.98 453.58 
1043688 763.76 453.67 
1087874 752.23 454.07 
1045655 749.30 454.83 
1096238 760.28 455.38 
1062417 750.43 455.47 
1025708 758.79 456.05 
1011359 742.92 439.30 
1044990 743.77 441.25 
1098106 745.57 443.08 
1023372 742.58 445.53 
1011681 742.49 446.35 
1063756 745.67 446.99 
1026445 744.90 449.89 
1091262 745.76 433.11 
1092899 743.29 436.34 
1045422 744.81 438.69 
Complementary Objects:
Statistics
pload:	 6	pwrite:	 0	cload:	 0	cwrite:	 0	acctime:	 0.000000	time: 0.019000

Traditional Range Search 
Point: (621.53,270.12)
Range: 37.91
Result Objects:
1076425 658.14 268.59 
1013344 625.31 287.78 
1024240 625.34 271.33 
1015291 625.34 281.40 
1087274 625.40 250.89 
1079497 625.70 259.46 
1050772 625.76 302.86 
1052016 626.22 292.24 
1020176 626.34 285.22 
1044745 626.62 288.94 
1044469 626.80 265.08 
1061164 626.95 265.20 
1038240 627.20 263.31 
1002255 627.26 299.59 
1078785 627.38 249.69 
1015890 627.56 249.02 
1018119 627.87 272.92 
1054623 628.54 300.26 
1079103 628.57 281.56 
1066336 628.66 256.01 
1039538 628.97 262.73 
1065797 629.52 299.01 
1014174 629.55 285.61 
1074830 630.83 249.36 
1004838 630.83 266.91 
1051483 631.32 254.94 
1067855 631.41 304.81 
1041468 631.50 272.98 
1049257 631.62 277.74 
1010610 631.68 260.19 
1070249 631.68 258.51 
1034975 631.74 258.24 
1063189 631.77 268.52 
1089587 632.05 264.95 
1077794 632.23 287.54 
1026815 632.23 273.41 
1013412 632.51 278.44 
1028517 632.60 271.30 
1066397 633.12 268.86 
1016325 633.15 259.49 
1089023 633.18 259.58 
1089140 633.73 286.01 
1064050 634.19 302.25 
1096914 634.22 250.67 
1079673 634.28 305.39 
1023721 634.43 279.21 
1049325 634.70 282.29 
1050470 634.83 249.11 
1058733 634.83 282.07 
1035879 636.11 266.08 
1016860 636.29 301.30 
1033840 636.41 300.99 
1048825 636.51 279.05 
1033188 636.60 252.29 
1099650 636.72 284.52 
1050927 636.72 291.32 
1041550 637.15 280.73 
1075462 637.42 286.44 
1034505 637.42 278.05 
1006600 638.00 249.94 
1071394 638.15 281.25 
1043462 638.28 270.97 
1026063 638.46 265.29 
1069352 638.55 266.36 
1051194 638.61 260.74 
1096218 638.85 289.49 
1027679 639.13 303.38 
1080472 639.56 301.64 
1056900 639.68 288.36 
1096703 639.68 294.28 
1096424 639.68 294.16 
1059272 639.92 291.96 
1047694 640.14 293.27 
1061581 640.17 251.65 
1094540 640.90 298.92 
1083125 641.11 286.38 
1066338 641.20 266.82 
1069441 641.75 277.71 
1074689 641.91 264.74 
1028016 641.94 259.80 
1091534 642.06 289.70 
1083387 642.12 295.99 
1067004 642.64 255.58 
1061756 643.74 269.81 
1014175 644.10 293.12 
1003669 644.44 265.56 
1024333 644.47 252.08 
1089391 644.50 259.74 
1007251 644.62 263.98 
1030499 644.62 254.82 
1064598 644.87 259.92 
1090032 644.93 285.10 
1012691 645.08 295.14 
1029480 645.26 277.01 
1076906 645.94 266.33 
1005915 645.97 292.54 
1057949 646.03 265.08 
1040151 646.12 286.53 
1047832 646.24 263.15 
1016148 646.36 260.38 
1077860 646.42 270.23 
1017538 646.55 279.66 
1082006 646.79 294.22 
1099373 646.97 252.17 
1072637 647.06 252.01 
1037885 647.34 269.78 
1049012 647.37 287.45 
1027865 647.55 258.64 
1025687 647.61 287.78 
1021035 647.61 263.95 
1010642 648.10 284.94 
1066764 648.77 271.30 
1034335 648.96 295.84 
1051732 649.20 260.35 
1056621 649.44 286.04 
1029289 649.48 291.08 
1086172 649.69 293.52 
1055024 649.75 292.39 
1068553 650.02 268.83 
1059817 650.57 292.54 
1051888 650.70 276.28 
1086178 651.15 276.43 
1073108 651.58 257.02 
1015622 651.73 269.90 
1057678 652.07 292.42 
1093859 652.28 284.52 
1080945 652.37 250.21 
1011539 652.47 279.63 
1082621 652.50 257.02 
1097917 652.59 266.42 
1012566 652.65 253.85 
1046727 653.35 288.12 
1078727 653.44 279.33 
1096826 653.50 274.72 
1066946 653.56 272.55 
1088900 653.81 286.22 
1042931 654.27 282.65 
1044734 654.45 281.28 
1076009 654.88 270.60 
1028099 654.91 266.63 
1064749 655.67 262.39 
1040337 655.91 281.49 
1050571 655.98 259.22 
1035228 656.04 274.69 
1084758 656.22 276.86 
1056910 656.31 276.92 
1085428 656.34 256.68 
1037135 656.43 262.94 
1041273 656.62 256.41 
1046100 657.23 281.68 
1072566 657.29 264.19 
1010536 657.96 279.48 
1031995 658.02 277.34 
1070992 625.92 242.16 
1009409 626.53 244.69 
1051660 626.95 238.31 
1031792 628.66 244.14 
1052399 629.64 233.83 
1080181 630.25 239.99 
1088068 630.58 235.47 
1063877 630.95 247.99 
1047876 631.77 246.34 
1054588 631.99 243.47 
1054297 632.39 234.62 
1074426 633.21 242.98 
1084968 635.65 245.03 
1052567 635.68 247.65 
1025205 635.71 238.53 
1052491 636.93 240.02 
1019331 637.30 244.69 
1048138 639.19 238.40 
1038303 639.62 245.67 
1094762 641.85 241.46 
1049720 643.13 246.73 
1094908 643.62 242.22 
1027748 644.13 241.61 
1083215 646.24 243.71 
1022889 647.61 247.59 
1028487 648.93 246.95 
1080266 593.51 293.73 
1067663 593.99 270.39 
1057810 594.24 272.31 
1024634 594.36 277.77 
1075242 594.70 282.75 
1020948 594.73 272.80 
1031908 594.73 288.76 
1095926 595.12 296.72 
1057166 595.15 294.62 
1008080 595.40 280.06 
1084318 596.01 277.31 
1007724 596.31 250.00 
1002129 596.41 295.62 
1075194 596.50 269.84 
1089825 596.59 266.17 
1073178 596.62 288.76 
1018367 597.23 268.86 
1043840 597.29 282.93 
1084329 597.50 269.04 
1073313 597.66 280.40 
1079814 597.69 259.34 
1031370 597.84 279.08 
1047720 597.93 268.95 
1061192 597.99 250.64 
1066830 598.11 293.58 
1073201 598.11 266.02 
1076175 598.39 290.68 
1059927 598.75 257.97 
1038560 599.15 274.05 
1075393 599.18 273.41 
1041567 599.40 258.09 
1093938 599.43 269.47 
1005380 599.46 259.80 
1034139 599.61 271.09 
1080587 600.04 260.38 
1047792 600.07 268.04 
1047088 600.34 255.28 
1005111 600.74 286.71 
1008856 600.77 293.58 
1065351 601.65 298.89 
1067466 601.90 260.25 
1021207 601.93 291.63 
1017548 601.96 278.32 
1045445 602.23 285.28 
1013643 602.42 267.49 
1027863 602.45 280.76 
1013021 602.60 268.52 
1003336 602.78 255.25 
1007387 603.06 266.48 
1076770 603.15 256.65 
1072652 603.18 302.37 
1007210 603.24 285.43 
1049825 603.52 255.10 
1023270 603.52 288.30 
1026009 603.58 264.77 
1088638 603.88 268.83 
1061293 603.94 259.98 
1096980 604.58 255.22 
1088427 604.86 276.79 
1050544 604.98 251.50 
1039270 605.01 259.03 
1046396 605.19 253.57 
1077844 605.38 272.16 
1031832 605.47 283.33 
1025722 605.62 287.57 
1070668 606.26 268.28 
1055874 606.35 261.57 
1037705 606.51 301.54 
1063011 606.66 259.09 
1038407 606.87 267.30 
1040349 606.99 303.83 
1024991 607.24 298.86 
1072743 607.39 262.39 
1018710 607.67 285.31 
1095191 607.82 305.42 
1053408 607.85 266.08 
1055640 608.34 283.72 
1088357 608.64 258.61 
1053269 608.67 286.35 
1082553 608.73 258.82 
1070718 608.80 295.59 
1052972 608.95 248.90 
1063537 609.25 253.66 
1073901 609.31 256.84 
1068452 609.44 304.41 
1041615 609.47 294.83 
1003937 609.56 299.62 
1067462 609.68 257.02 
1083624 609.77 289.61 
1093310 609.77 264.83 
1073528 609.80 293.24 
1008842 609.80 268.59 
1096527 610.14 271.00 
1027131 610.32 290.83 
1085444 610.41 269.59 
1082545 610.44 267.24 
1044536 610.53 262.91 
1029228 610.90 265.84 
1097725 610.90 298.49 
1056392 610.93 301.45 
1041368 611.30 267.61 
1067485 611.48 261.60 
1045101 611.51 291.14 
1011992 611.72 277.86 
1085346 611.76 282.99 
1057855 611.79 256.93 
1066808 612.09 300.96 
1051002 612.30 282.35 
1095541 612.61 291.90 
1074856 613.04 253.45 
1078705 613.04 283.14 
1092939 613.34 286.90 
1047590 613.62 275.30 
1076338 613.65 281.77 
1093084 613.77 273.10 
1068298 613.86 293.06 
1039190 613.95 254.76 
1093273 614.01 306.37 
1035908 614.07 278.78 
1044343 614.26 265.99 
1026835 614.56 302.52 
1067796 614.84 255.22 
1095214 615.02 304.29 
1007861 615.05 269.29 
1095486 615.05 261.90 
1067178 615.20 267.21 
1068602 615.54 276.28 
1075509 615.57 270.75 
1035673 615.75 265.81 
1000090 615.78 289.55 
1018772 616.00 260.65 
1093514 616.12 297.64 
1050530 616.76 250.37 
1003381 616.79 285.19 
1066576 616.97 283.78 
1004935 617.07 288.82 
1093208 617.07 253.81 
1000261 617.74 271.85 
1098595 617.86 306.34 
1031079 617.95 290.59 
1073818 618.10 290.37 
1049462 618.44 290.83 
1059032 618.53 264.68 
1060015 618.56 288.02 
1087001 618.80 264.56 
1090490 618.80 268.74 
1024593 618.96 258.15 
1001937 619.02 253.97 
1056580 619.14 265.17 
1032052 619.26 261.35 
1082955 619.75 289.40 
1091801 619.81 259.31 
1051435 619.84 274.66 
1016902 620.36 269.56 
1076297 620.39 282.04 
1012231 620.85 280.46 
1054961 620.91 263.24 
1097425 621.43 286.99 
1036649 621.46 297.21 
1034562 621.64 287.69 
1012600 621.67 281.49 
1036068 622.16 261.72 
1017134 622.22 280.46 
1033246 622.41 285.22 
1033773 622.50 250.34 
